       parameter            eig1            eig2            eig3            eig4            eig5            eig6            eig7            eig8            eig9           eig10           eig11           eig12           eig13           eig14           eig15           eig16           eig17           eig18           eig19           eig20 identifiability     sqrt(ident)
 qsy128          2.0596780E-17   3.8355938E-15   7.4167149E-13   7.4757292E-14   1.2368496E-18   7.1853907E-16   7.1624870E-16   9.8052946E-13   5.4258133E-14   1.8399007E-11   7.2246518E-14   7.4182172E-13   3.1265143E-14   1.3133790E-12   6.2080540E-13   4.3034965E-12   1.8392967E-12   1.3956749E-13   1.0149405E-17   1.9169530E-15   2.9319321E-11   5.4147319E-06
 qsy129          1.1329606E-18   1.9355419E-19   5.2865167E-19   5.2121586E-17   2.4880012E-21   2.4466848E-18   2.4781354E-17   1.3576152E-16   1.1804859E-18   1.4160246E-20   3.5663477E-19   5.3346290E-18   2.3179968E-16   3.3779297E-15   5.4324813E-19   3.3661237E-16   3.7444241E-16   2.3124280E-16   9.2637937E-19   4.6584931E-20   4.7773979E-15   6.9118723E-08
 qsy130          9.5363137E-17   7.0155798E-20   1.6787320E-14   1.9639481E-15   1.2843504E-18   2.0696291E-16   1.5576859E-16   1.6223453E-14   5.1420459E-17   6.9795197E-16   3.0543614E-18   3.0949902E-17   1.0493805E-14   1.0858542E-16   7.1665485E-15   6.9267178E-15   4.5018591E-15   1.2190967E-14   7.6367840E-18   1.1905321E-17   7.7625571E-14   2.7861366E-07
 qsy131          2.0774526E-16   1.0370615E-15   3.8418973E-14   2.1596579E-14   1.2079255E-16   2.1172356E-13   6.6408606E-13   8.3202487E-13   6.9001948E-14   7.6970928E-12   2.0017872E-14   1.0770201E-13   1.5936858E-13   1.5046339E-11   3.7057486E-15   5.3745397E-13   2.0842615E-14   4.5749451E-13   2.7846386E-16   7.9208419E-15   2.5896434E-11   5.0888539E-06
 qsy132          2.6297248E-13   3.6267458E-15   7.2069011E-11   7.2331521E-12   6.5431910E-12   1.1441006E-10   2.9540322E-10   1.1761695E-10   9.6278885E-12   2.2022409E-09   1.3178594E-13   6.2774150E-12   2.0619273E-09   5.9594977E-09   9.9371718E-13   1.8972453E-10   8.9965763E-11   4.0798803E-11   8.4016154E-11   4.8026878E-11   1.1306771E-08   1.0633330E-04
 qsy133          3.1365359E-12   9.1758245E-13   4.8088592E-10   1.0221829E-13   2.6523044E-12   9.3604334E-11   7.4668785E-10   2.2556013E-10   6.2336455E-13   4.8370459E-10   7.7764002E-12   1.0411100E-11   4.6093204E-11   1.4543481E-10   3.8258772E-10   3.2023007E-11   2.4160100E-10   1.8362087E-09   3.8210882E-11   7.8491266E-13   4.7790065E-09   6.9130359E-05
 qsy134           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 qsy135          1.2795804E-19   6.4870798E-17   4.9483621E-16   2.7385063E-15   3.8710539E-18   1.6032073E-14   2.6150377E-14   5.3432024E-17   4.8486857E-17   5.6256880E-14   1.3796751E-17   3.6065207E-15   2.9763474E-13   1.1703961E-13   1.4236689E-13   1.6646643E-14   1.2993530E-14   1.0067573E-14   2.7796853E-18   2.0911311E-17   7.0223646E-13   8.3799550E-07
 qsy136           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 qsy137          8.3559079E-14   4.5571251E-15   2.2721504E-12   3.7268210E-13   5.6022304E-15   5.1205964E-12   1.5675555E-11   1.5548059E-12   3.5047016E-11   3.5621888E-15   1.2789429E-13   2.2996602E-12   4.6613750E-13   7.2442444E-11   7.8029964E-10   4.6034233E-12   6.9441817E-12   8.4292375E-11   9.4814810E-12   5.9082598E-12   1.0270056E-09   3.2046928E-05
 qsy138          1.0909574E-16   8.7834162E-17   2.1157423E-16   8.3807553E-15   2.8177334E-15   2.0596075E-15   4.1282246E-16   1.4015643E-13   7.0586704E-18   6.1837169E-13   2.6657338E-17   1.5312249E-14   3.6629907E-13   4.3967440E-12   1.6745583E-12   1.1239869E-14   2.7385967E-15   1.1739086E-13   1.2432517E-14   1.9100593E-14   7.3884573E-12   2.7181717E-06
 qsy139          6.0922403E-09   1.4572018E-07   1.8993169E-06   1.5991776E-07   4.1971222E-11   5.6361160E-06   2.4009618E-05   9.5016725E-09   6.3955063E-06   7.9218211E-04   8.0561378E-07   9.7261507E-09   1.0279138E-04   1.0370820E-03   2.6066828E-08   6.0997847E-05   4.7332303E-05   3.1568777E-05   8.7195898E-08   2.4974864E-08   2.1111698E-03   4.5947468E-02
 qsy140          4.4210921E-18   3.6164639E-17   1.4520183E-14   7.0844987E-17   1.6301294E-18   4.6112484E-14   1.5380170E-13   3.8387950E-14   1.4361819E-15   1.7946832E-15   8.3352062E-17   1.7086872E-15   3.8024303E-13   1.2420453E-14   3.2905344E-15   3.6392233E-15   7.1233523E-15   1.1621485E-16   9.4254974E-18   1.6610318E-18   6.6480217E-13   8.1535402E-07
 qsy141          4.3850420E-18   9.7183243E-15   3.7381244E-13   1.0703178E-13   2.9609212E-15   1.5221713E-12   6.8656904E-12   3.4850590E-15   5.2819489E-16   5.0320678E-11   8.2862860E-13   6.1458227E-13   6.7933279E-18   6.9765748E-14   2.5700482E-13   1.4220974E-12   1.3011956E-11   1.0518910E-12   2.7151218E-16   1.1039963E-11   8.7502248E-11   9.3542636E-06
 qsy142          1.2695643E-16   3.2076234E-17   1.3099715E-13   2.2539082E-16   1.5433924E-16   2.7225780E-15   4.7748799E-15   5.4184496E-14   3.8030901E-15   4.7291280E-14   1.4311414E-18   1.8248045E-14   1.2420411E-13   1.5909743E-12   2.5913590E-13   2.0767981E-13   1.1900120E-13   9.7469179E-14   2.6852097E-16   6.6890386E-16   2.6619637E-12   1.6315525E-06
 qss00            0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 qss01           1.4151747E-11   9.1823574E-14   9.9458974E-08   3.4159037E-11   7.5649475E-10   1.0189260E-09   7.1170393E-10   1.7946872E-10   6.9453764E-08   4.1109952E-07   4.1085437E-09   4.5633834E-10   1.2309567E-07   8.8531655E-07   1.9665110E-09   1.0883784E-08   5.5690064E-08   6.1054560E-07   4.8977977E-09   1.8065441E-10   2.2798688E-06   1.5099234E-03
 qss02           5.3819918E-11   5.2675731E-11   6.0529141E-12   2.2907898E-12   2.0232779E-10   5.2518049E-08   1.5398521E-07   1.4599747E-07   5.8609607E-10   9.7620124E-08   2.7986992E-11   4.3866780E-09   1.9518144E-07   2.3829261E-07   3.7433857E-09   2.7165030E-08   8.1384986E-09   8.6871485E-07   2.6801469E-09   6.6260509E-09   1.8059808E-06   1.3438678E-03
 qss03           2.0449054E-13   5.2199459E-11   7.0671349E-09   2.5072855E-13   7.0706819E-15   5.2066838E-09   1.5067172E-08   1.1675810E-08   5.1491531E-10   3.2058173E-08   8.8403546E-11   7.1138353E-12   9.5900926E-09   1.9271939E-07   1.5042865E-08   3.8849663E-08   6.5322633E-08   7.2674168E-07   1.5992701E-10   1.7691614E-11   1.1201820E-06   1.0583865E-03
 qss04           1.7453375E-11   4.2466373E-13   5.4626207E-09   3.5878821E-11   8.3980772E-11   1.9717726E-08   6.7516248E-08   1.8252544E-08   6.8144226E-13   2.5414153E-09   3.7620631E-11   1.2311949E-10   5.1073324E-08   1.0560838E-09   9.4308592E-11   3.1944179E-08   2.9724954E-08   7.8374544E-11   7.9960968E-10   7.1757178E-09   2.3573626E-07   4.8552679E-04
 qss05           2.1966233E-09   1.0120173E-07   1.2396567E-06   1.3496569E-07   1.6098204E-09   3.5931580E-06   1.6994505E-05   1.8069040E-07   5.6641313E-06   6.3045443E-04   3.5168049E-07   5.9963248E-08   1.0384999E-04   9.1282893E-04   1.5299750E-07   3.2353932E-05   2.2514608E-05   2.7428603E-06   8.7890285E-08   1.1616504E-10   1.7333095E-03   4.1633034E-02
 qss06           1.2125089E-11   2.3489779E-13   8.8569879E-11   6.7573787E-13   8.6828991E-12   6.8291306E-09   2.4392459E-08   1.1271364E-08   4.7545604E-11   5.6519272E-09   6.9727717E-13   1.8840723E-12   2.1842695E-08   1.4516108E-10   1.0437423E-09   1.3328507E-08   8.8718184E-09   1.4327181E-09   5.4018860E-11   1.1970017E-09   9.6220959E-08   3.1019503E-04
 qss07           2.7230393E-12   4.1283122E-11   6.2900240E-09   5.5983682E-11   2.3439946E-13   1.0130958E-09   1.1722520E-09   3.8757837E-08   3.5375917E-10   4.5519840E-08   1.4301346E-10   8.9946108E-19   1.5053590E-08   1.7831164E-07   6.4644778E-09   8.6957451E-09   2.1489228E-08   8.8082466E-07   8.1346320E-11   1.7413128E-12   1.2042725E-06   1.0973935E-03
 qss08           1.8837156E-08   8.5648520E-10   1.9695209E-05   7.1981282E-08   1.1027198E-08   2.8584404E-06   1.2845424E-06   5.3537712E-06   5.9627201E-06   5.6276255E-05   2.8103849E-07   7.6003680E-09   2.3051458E-05   1.5912352E-05   6.9659817E-06   4.0439586E-06   1.2382482E-06   1.7880508E-05   1.6464832E-07   1.3186712E-06   1.6239811E-04   1.2743552E-02
 qss09           5.8894700E-11   7.3346765E-10   5.1507736E-08   1.1734794E-09   1.8442083E-10   2.2713221E-09   2.0827673E-10   1.6926682E-07   1.5923229E-09   2.1799783E-07   7.5798243E-11   4.5185923E-12   2.0595890E-07   3.6115671E-07   6.9999870E-09   2.6018425E-08   1.1641715E-09   7.3255815E-07   3.5483321E-10   3.1998698E-10   1.7796060E-06   1.3340188E-03
 qss10           2.1064059E-10   6.2618651E-12   1.0439199E-09   7.0987298E-09   4.0228695E-09   3.5127410E-08   6.4769706E-07   5.5440273E-08   3.9022812E-09   3.8480368E-08   1.4732003E-09   5.7042841E-12   1.5458337E-06   1.1361532E-05   1.6137577E-06   2.4408935E-07   1.5411956E-06   1.5544235E-06   7.6497392E-09   5.7727963E-11   1.8663048E-05   4.3200750E-03
 qss11           6.4796352E-16   5.4445782E-16   2.2021234E-12   2.5167944E-13   2.4276099E-15   1.2152022E-13   4.3912367E-14   1.0985202E-13   4.7373357E-15   5.8546543E-12   7.5607065E-14   8.3181150E-15   3.7224044E-12   4.0480317E-12   1.4454419E-12   7.5024202E-12   4.5511011E-13   4.9968102E-13   7.8366797E-15   5.5327946E-12   3.1889745E-11   5.6471006E-06
 qss12            0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 qss15           6.0615677E-15   6.0768609E-15   1.9789903E-13   1.3477022E-13   2.9985576E-17   1.5645860E-13   5.8380741E-13   2.0519252E-13   2.1470788E-13   3.4774496E-11   3.8278118E-13   9.6142005E-13   3.1035790E-12   3.6260720E-12   1.5899192E-12   3.8730469E-12   7.5053091E-12   2.1043154E-12   2.3302788E-16   1.5074204E-12   6.0933597E-11   7.8059975E-06
 qss100          3.6504376E-13   3.7357477E-15   6.0179420E-12   2.3456730E-14   1.5840885E-14   3.6178764E-13   1.5795202E-12   1.7064182E-12   3.9016101E-12   7.6899513E-11   1.3385048E-13   3.7023362E-13   1.0700295E-14   2.0572248E-10   4.8750908E-12   4.5597165E-12   9.7350832E-13   1.4086817E-10   1.2258406E-13   4.1680375E-13   4.4892800E-10   2.1187921E-05
 qss101          3.8875526E-20   3.8138254E-17   3.6735361E-15   2.1877378E-16   1.2003101E-19   2.0247206E-15   7.9528080E-14   8.7321294E-15   4.8577540E-16   2.4253777E-18   3.2834399E-17   2.4625862E-16   7.6174947E-14   7.5794453E-15   8.4623425E-15   5.0637210E-14   1.4820656E-14   9.6888372E-15   4.1222981E-18   3.0500223E-17   2.6238089E-13   5.1223129E-07
 qss102          3.9769490E-17   2.0761928E-16   5.9921541E-14   7.4101399E-16   9.7927236E-19   4.5858463E-17   9.2028331E-15   1.3946199E-14   1.0931748E-15   5.2407423E-13   3.5875525E-16   4.9321435E-20   3.4516697E-13   3.1606867E-13   3.7721566E-15   2.0610663E-13   1.7528592E-18   2.2139029E-13   5.6387981E-17   1.1259554E-15   1.7033208E-12   1.3051133E-06
 qss103          2.3734474E-11   6.5098639E-13   3.6545396E-09   2.4732774E-11   1.6541810E-10   1.8449135E-08   6.1158338E-08   1.8827929E-08   1.3023489E-14   2.4585314E-09   5.3379283E-11   1.1814787E-10   4.7178868E-08   4.0663264E-11   6.5378323E-10   3.7524768E-08   3.3850243E-08   1.0272850E-10   8.5950371E-10   6.1851603E-09   2.3133027E-07   4.8096805E-04
 qss104          1.0388639E-10   4.2598131E-11   9.2659393E-07   2.9008623E-08   1.5058178E-08   1.4137650E-07   2.7611934E-09   6.7477064E-08   1.8019619E-10   1.1605060E-07   5.2023377E-10   1.0825089E-08   7.5146632E-06   5.4033073E-06   1.4754485E-06   2.3486162E-06   1.3591226E-07   1.9921351E-06   8.4683461E-09   6.2944464E-09   2.0194843E-05   4.4938673E-03
 qss105          9.2877968E-17   3.7043853E-17   1.2261739E-12   1.1316183E-14   1.6403280E-16   3.9192187E-12   1.3365742E-11   5.8412148E-12   2.6417713E-13   1.0786351E-11   7.9950795E-14   1.5348942E-13   9.1666189E-12   6.2002210E-13   4.3637779E-12   7.9775621E-12   1.0286922E-11   1.3203534E-11   7.9835016E-17   4.1511085E-15   8.1270595E-11   9.0150205E-06
 qss106          1.4849805E-13   5.3163337E-11   7.2077582E-09   2.6390114E-13   3.7903611E-14   5.3765743E-09   1.6279856E-08   1.2120913E-08   5.0800241E-10   3.2125733E-08   9.0772175E-11   1.4999116E-11   9.2075396E-09   1.9774218E-07   1.3798686E-08   3.8562002E-08   6.4096864E-08   7.1949609E-07   1.5989024E-10   2.7416634E-11   1.1168689E-06   1.0568202E-03
 qss107          6.4116252E-17   1.2184930E-15   4.9713948E-15   2.5660216E-14   2.5764947E-15   9.6745908E-14   9.7428805E-14   3.8647901E-14   3.4367501E-13   2.0441894E-12   6.7422532E-15   2.2739251E-14   6.0196436E-12   2.5624874E-11   3.2824075E-10   1.9890879E-11   9.1961717E-12   7.0686818E-13   3.6179241E-14   9.7824295E-14   3.9249785E-10   1.9811559E-05
 qss108          2.0654794E-17   1.7673594E-17   2.2248412E-14   8.4579877E-16   7.3627521E-19   3.1356351E-15   6.2455806E-16   7.8048221E-14   1.3098218E-17   5.8823477E-14   9.4727581E-19   5.5652674E-15   1.3909039E-12   4.3972038E-14   5.6855032E-16   9.2417233E-16   2.1926863E-14   6.1580779E-15   1.3963828E-18   2.5177341E-16   1.6340512E-12   1.2783001E-06
 qss109          3.6336114E-14   8.3480880E-15   6.6328280E-12   4.0191430E-13   1.7538563E-16   1.8153558E-11   6.6426544E-11   8.0976042E-12   4.2806142E-15   1.6789903E-12   2.7007547E-14   7.7764173E-14   5.9916041E-12   7.0716234E-12   5.2543714E-12   7.2511233E-12   2.8897370E-12   7.6865322E-12   6.6569823E-15   1.5926621E-14   1.3771293E-10   1.1735115E-05
 qss110          5.2990066E-14   3.2966507E-16   7.3347659E-13   7.7897356E-15   2.4859186E-17   1.5608192E-12   3.5843867E-12   9.9107334E-13   7.4480262E-15   1.2915375E-12   9.6169760E-16   1.3486914E-14   9.3367618E-12   5.8435357E-13   1.4072378E-12   1.4551030E-13   1.1791838E-14   1.0562953E-13   1.2479058E-16   1.0571548E-14   1.9846305E-11   4.4549192E-06
 qss111          6.0750591E-10   1.8394815E-09   8.4482985E-10   5.4994481E-10   3.6649779E-13   2.3774255E-08   7.9176487E-08   2.6357999E-09   1.1827615E-08   3.1720184E-06   7.0601621E-09   2.7081108E-09   8.1796087E-09   4.7210799E-06   1.7303424E-09   2.4759816E-07   1.2869331E-07   9.2504025E-08   5.6671452E-10   2.1070411E-09   8.5055021E-06   2.9164194E-03
 qss112          8.3333173E-11   6.0988038E-10   3.0704763E-09   5.8516563E-12   2.2699465E-15   1.6860837E-08   5.7723824E-09   6.0098366E-08   5.3750771E-10   4.6085492E-08   2.7471672E-10   5.5778355E-10   8.0642424E-08   1.5685318E-08   3.2032076E-09   6.2548632E-11   2.0031216E-08   3.8646824E-09   3.8356017E-11   9.1088488E-11   2.5757547E-07   5.0751894E-04
 qss113          1.0955918E-12   1.0065406E-12   4.3778778E-10   1.6709532E-11   5.8533415E-12   7.6973169E-11   7.1645411E-10   2.9044208E-10   2.2016453E-11   4.3299541E-10   2.0721473E-11   8.3660518E-12   8.3546753E-11   2.8421398E-10   2.6571260E-09   3.5238333E-14   4.5328571E-11   1.8174523E-09   6.4979477E-10   1.0936100E-10   7.6772801E-09   8.7620089E-05
 qss114          7.2726683E-09   1.3078915E-14   4.6761902E-07   1.2098293E-10   4.7958092E-11   3.0077874E-07   2.1737366E-07   2.1501858E-07   5.8001748E-09   1.0090533E-06   4.3933729E-09   1.2883458E-10   1.5600033E-07   3.0646368E-07   2.9706305E-06   9.0857639E-09   1.3808087E-11   5.7688073E-07   8.8027807E-10   2.4003910E-07   6.4876015E-06   2.5470770E-03
 qss115          2.5255734E-11   1.4545151E-14   1.8027765E-09   4.8237269E-13   1.7735675E-13   1.4053986E-09   1.8083993E-09   1.1265212E-09   6.6182012E-11   3.9664927E-09   1.1155510E-11   3.0900137E-12   7.7472825E-10   1.3136574E-09   1.6894473E-08   8.7630391E-10   4.3657051E-10   3.9121783E-09   6.5121303E-13   1.6978169E-11   3.4441487E-08   1.8558418E-04
 qss116          3.2409040E-11   1.2864300E-16   1.6444650E-07   5.3345879E-09   4.9588750E-09   1.1098067E-08   4.9722180E-08   7.2376615E-10   5.8650322E-10   1.0415607E-07   2.8609610E-10   3.2029214E-09   2.0488219E-06   1.7893340E-06   5.4556716E-07   3.0457290E-07   2.5156526E-08   5.7330820E-07   2.8360718E-09   6.8753755E-12   5.6341516E-06   2.3736368E-03
 qss117           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 qss118          1.6222111E-10   2.8172218E-13   5.7411174E-09   2.0721251E-12   1.3553658E-11   6.0478069E-09   1.1129308E-08   5.6748952E-09   2.1486230E-10   2.2840391E-08   2.6326436E-11   2.6141067E-11   2.7584416E-11   4.7504372E-11   5.4921858E-08   1.4929717E-09   2.5625375E-09   8.6007382E-09   9.4311164E-12   4.0686315E-11   1.1958229E-07   3.4580672E-04
 qss119          8.4267246E-09   3.1314841E-08   1.4050558E-06   3.9249399E-09   3.4848227E-11   1.6490853E-07   1.9899309E-10   1.0844891E-05   7.5020078E-08   9.9555329E-06   2.8551608E-08   5.6690181E-09   2.8655303E-06   4.1928256E-06   2.6576749E-08   1.0276233E-06   1.8582741E-06   1.8661480E-05   4.4305001E-10   1.7039551E-08   5.1173322E-05   7.1535531E-03
 qss120          6.1786485E-13   5.0090852E-13   9.9846105E-09   1.4470020E-09   2.5580820E-09   5.6542450E-10   1.7987355E-09   8.3596717E-08   1.4238492E-08   8.4028467E-07   7.3886524E-11   6.0658261E-08   5.6363821E-07   5.0284233E-06   6.1370779E-08   7.6604655E-08   6.0483021E-08   1.7509411E-07   1.0909031E-09   5.6877559E-08   7.0387895E-06   2.6530717E-03
 qss121          7.3780090E-16   4.1250192E-16   1.0977190E-13   8.0843101E-15   3.1676464E-18   5.4714999E-13   1.9579620E-12   2.8915586E-13   9.1750092E-16   1.1254282E-13   8.1878286E-16   1.0280725E-15   9.0115940E-14   2.6207687E-14   1.6792713E-13   2.5209937E-13   1.0108273E-13   1.9917100E-13   3.5983391E-17   6.8338374E-16   3.8659079E-12   1.9661912E-06
 qss122          3.5636800E-13   8.9299291E-13   2.6705665E-12   3.7042355E-11   1.4411831E-12   2.3070025E-08   2.4997277E-08   6.9370956E-09   3.0807611E-10   4.1665469E-10   1.4157264E-14   7.9165316E-12   2.0300194E-09   4.5391911E-09   4.9439388E-11   2.6320561E-10   1.0828421E-08   1.9191758E-09   1.0530427E-12   5.5458445E-11   7.5465427E-08   2.7470971E-04
 qss123          8.2394373E-14   3.6347829E-14   2.9361701E-11   4.0547511E-14   1.3567717E-15   6.5513451E-12   1.2165791E-12   1.8885752E-12   5.5062496E-14   1.5930836E-11   1.8066796E-14   7.8836254E-15   1.1110742E-11   2.7175978E-11   7.6782447E-11   3.4639103E-13   1.7463362E-12   9.9262953E-12   8.3635726E-17   1.1734458E-12   1.8345241E-10   1.3544461E-05
 qss124          1.4611432E-15   5.4189896E-12   1.7599682E-09   1.4277402E-11   9.7751033E-12   2.2287993E-10   3.6665078E-12   9.6601187E-09   5.9932537E-11   5.5270408E-09   1.7245207E-10   2.7873504E-10   1.2630544E-08   4.0258352E-10   1.1815542E-12   7.8580884E-09   7.3639313E-10   1.7005896E-09   6.9892085E-13   1.7625244E-10   4.1220599E-08   2.0302857E-04
 qss125          1.7757425E-11   1.8487302E-12   2.3239112E-09   2.7029277E-13   1.5816915E-11   4.8547462E-10   3.4717639E-09   1.3910624E-09   6.6676603E-12   3.4363872E-09   4.4529657E-11   4.5405869E-11   4.8130505E-10   1.1630088E-09   1.7520738E-09   1.5933009E-10   1.2460908E-09   9.7636111E-09   1.8751267E-10   4.4873589E-12   2.5998316E-08   1.6123993E-04
 qss126          9.6095227E-10   1.3518981E-12   1.5676584E-07   2.2339614E-09   5.7421725E-10   1.1211110E-10   6.1736953E-08   9.1929865E-08   8.9409742E-08   1.8042401E-06   3.6410038E-08   4.8557658E-09   7.4577681E-08   1.2238997E-06   4.0347822E-07   1.1667812E-08   3.5466699E-08   4.1784772E-06   1.5039812E-08   2.5237336E-08   8.2170754E-06   2.8665441E-03
 qss127          5.9887509E-16   2.0504935E-15   4.6285090E-14   7.1418564E-18   3.8261754E-17   4.4934740E-14   1.3518659E-13   8.2511403E-14   8.8294042E-15   9.6155354E-13   7.1161562E-16   1.4585101E-15   2.5368222E-13   1.9469078E-13   5.9241120E-14   1.2953026E-13   3.7698691E-13   8.0672220E-13   2.8025719E-15   4.4328095E-15   3.1122545E-12   1.7641583E-06
 qss128          1.0110079E-18   1.3955226E-15   3.1258476E-13   1.5108596E-14   7.6561003E-18   6.4937329E-13   2.3009611E-12   3.2667935E-13   2.2121716E-14   7.8454792E-14   2.8849787E-15   1.6413967E-14   3.5282370E-12   1.9204198E-13   5.7801992E-13   3.9744646E-12   1.1968561E-12   8.1364887E-13   7.7824209E-19   1.8715019E-15   1.4011128E-11   3.7431441E-06
 qss129           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 qss130          7.2361786E-18   6.2492183E-20   6.3394064E-17   1.8050204E-16   8.7121915E-21   1.8085514E-16   4.0759286E-16   2.4255242E-15   2.4481071E-17   1.9500815E-16   1.5795710E-18   8.3560467E-22   8.8410741E-16   2.5959436E-16   2.7234445E-16   5.7980050E-16   3.1117982E-16   4.0667690E-15   1.9339464E-23   3.2890313E-18   9.8633299E-15   9.9314299E-08
 qss131          9.8300840E-18   3.8888370E-16   8.8344065E-14   3.2862798E-14   1.4433970E-19   9.0820160E-13   1.5427079E-12   5.2722151E-13   1.3452132E-14   1.4938366E-13   2.8330247E-15   2.1659055E-13   1.0657030E-13   3.8336109E-13   1.9631448E-12   6.7910448E-12   4.5122321E-12   6.6572545E-12   3.0428569E-15   9.0020037E-15   2.3907649E-11   4.8895448E-06
 qss132          4.5346282E-10   2.1726582E-11   1.3207012E-07   8.6663785E-10   2.6305064E-09   5.1303311E-07   1.7103511E-06   5.0920767E-07   1.7398199E-10   1.3925317E-07   9.6038030E-10   1.0018697E-09   1.5152284E-06   3.2323111E-09   3.1771714E-09   7.7047516E-07   6.9153387E-07   7.6367575E-09   2.5260767E-08   1.6676341E-07   6.1933316E-06   2.4886405E-03
 qss133          3.1344769E-12   9.1729734E-13   4.8090283E-10   1.0224316E-13   2.6534557E-12   9.3549111E-11   7.4620191E-10   2.2545030E-10   6.2585695E-13   4.8384582E-10   7.7988504E-12   1.0418628E-11   4.5968113E-11   1.4587880E-10   3.8224525E-10   3.1861815E-11   2.4126338E-10   1.8374471E-09   3.8365291E-11   7.4904247E-13   4.7793795E-09   6.9133057E-05
 qss134          2.3132405E-12   5.9841349E-15   1.8443776E-11   3.5358536E-14   1.7143108E-14   3.0491723E-11   2.5104498E-10   4.0701044E-11   1.3757570E-12   1.0089057E-13   2.4303044E-13   5.2693316E-13   2.8383264E-11   1.2812004E-10   1.0895552E-13   1.2219442E-10   1.1851226E-10   3.5845001E-12   7.3172928E-12   6.0778451E-11   8.1429906E-10   2.8535926E-05
 qss135          2.9378526E-17   5.2572340E-15   4.2988068E-21   1.5539185E-13   5.8056293E-16   3.8139156E-12   9.7486144E-12   2.0520125E-12   1.5896564E-14   5.3089664E-12   1.4324895E-15   4.6681456E-13   4.2215603E-11   5.8005516E-12   4.7173588E-12   9.6156780E-13   3.4477183E-15   1.3574604E-12   4.3902356E-15   8.9300341E-15   7.6638221E-11   8.7543258E-06
 qss136          6.8718835E-22   2.7166430E-19   1.6060204E-16   7.1676542E-16   6.3835048E-19   7.4082675E-17   5.3712659E-16   1.0954431E-15   6.0417944E-17   1.2243291E-14   5.4934108E-17   1.3211233E-15   3.4254674E-16   3.4128504E-14   3.2103986E-16   1.3735938E-15   1.2826896E-14   9.6786316E-16   1.0774272E-19   3.1523146E-17   6.6256772E-14   2.5740391E-07
 qss137          1.5873794E-14   3.8977238E-17   1.7765270E-10   6.1710005E-12   5.8882481E-12   2.0929288E-11   4.6045535E-11   3.2886834E-12   3.1444775E-12   1.3663625E-10   4.3450460E-13   5.3217409E-12   2.5715428E-09   2.3452513E-09   2.2337549E-10   4.2090419E-10   3.5558349E-11   7.1143462E-10   2.2885468E-12   1.1156906E-11   6.7270405E-09   8.2018538E-05
 qss138          1.7696190E-19   1.7980032E-17   1.3729513E-14   1.2804017E-14   2.0375668E-16   3.6498443E-17   1.1639943E-16   4.3344510E-14   2.6868417E-16   3.4518437E-15   6.1890502E-16   5.4013032E-13   7.5278585E-14   3.7046480E-12   5.3572014E-14   6.5281667E-14   6.2928876E-15   1.9156298E-13   2.1766978E-15   1.0892838E-14   4.7244283E-12   2.1735750E-06
 qss139          2.0228255E-10   2.1873822E-08   4.3579849E-07   3.1152185E-08   6.8848835E-12   1.0652706E-06   4.6930459E-06   9.7712495E-09   1.3362335E-06   1.5106607E-04   1.3320723E-07   1.0213378E-08   2.4747332E-05   1.9395601E-04   1.4722947E-08   1.1614179E-05   9.4903138E-06   6.2728406E-06   2.9309527E-08   1.1379848E-09   4.0492869E-04   2.0122840E-02
 qss140          2.7881945E-18   3.0885731E-18   1.0049630E-16   2.1462845E-16   3.1272909E-19   1.9887626E-15   8.5408704E-15   2.5000084E-15   4.0598775E-18   2.0354097E-15   3.6008316E-17   4.5676288E-16   1.0402873E-13   7.6998307E-15   1.4699915E-15   1.3631851E-14   6.0798647E-16   5.2559431E-16   2.4470702E-19   4.1666488E-17   1.4388909E-13   3.7932715E-07
